Time [s],0.5mV,1mV,1.5mV,2mV,2.5mV,3mV,3.5mV,4mV,4.5mV,5mV
1,1.588185549,1.676386098,1.764586646,1.852787195,1.940987744,2.029188293,2.117388841,2.20558939,2.293789939,2.381990488
1.0001,1.610810738,1.721636476,1.832462215,1.943287953,2.054113691,2.164939429,2.275765167,2.386590905,2.497416643,2.608242381
1.0002,1.632998549,1.766012098,1.899025647,2.032039196,2.165052745,2.298066294,2.431079843,2.564093392,2.697106941,2.830120489
1.0003,1.654661416,1.809337832,1.964014248,2.118690664,2.27336708,2.428043496,2.582719912,2.737396328,2.892072744,3.04674916
1.0004,1.675713846,1.851442692,2.027171538,2.202900384,2.37862923,2.554358076,2.730086922,2.905815768,3.081544614,3.25727346
1.0005,1.696072755,1.892160509,2.088248264,2.284336018,2.480423772,2.676511527,2.872599281,3.068687036,3.26477479,3.460862545
1.0006,1.715657794,1.931330588,2.147003383,2.362676177,2.578348971,2.794021765,3.009694559,3.225367353,3.441040147,3.656712942
1.0007,1.734391672,1.968798344,2.203205016,2.437611688,2.672018359,2.906425031,3.140831703,3.375238375,3.609645047,3.844051719
1.0008,1.752200454,2.004415907,2.256631361,2.508846814,2.761062268,3.013277721,3.265493175,3.517708628,3.769924082,4.022139535
1.0009,1.769013856,2.038042712,2.307071568,2.576100424,2.84512928,3.114158136,3.383186992,3.652215848,3.921244704,4.19027356
1.001,1.784765525,2.069546049,2.354326574,2.639107098,2.923887623,3.208668147,3.493448672,3.778229196,4.063009721,4.347790245
1.0011,1.799393295,2.098801589,2.398209883,2.697618178,2.997026472,3.296434767,3.595843061,3.895251355,4.19465965,4.494067944
1.0012,1.812839437,2.125693873,2.43854831,2.751402746,3.064257183,3.377111619,3.689966056,4.002820492,4.315674929,4.628529366
1.0013,1.825050885,2.15011677,2.475182656,2.800248541,3.125314426,3.450380311,3.775446196,4.100512081,4.425577966,4.750643852
1.0014,1.835979447,2.171973895,2.507968342,2.843962789,3.179957236,3.515951683,3.851946131,4.187940578,4.523935025,4.859929472
1.0015,1.845581993,2.191178985,2.536775978,2.882372971,3.227969964,3.573566956,3.919163949,4.264760942,4.610357934,4.955954927
1.0016,1.853820625,2.20765625,2.561491874,2.915327499,3.269163124,3.622998748,3.976834373,4.330669998,4.684505623,5.038341247
1.0017,1.860662829,2.221340659,2.582018488,2.942696317,3.303374146,3.664051975,4.024729804,4.385407634,4.746085463,5.106763292
1.0018,1.866081603,2.232178206,2.598274809,2.964371412,3.330468015,3.696564618,4.062661221,4.428757825,4.794854428,5.160951031
1.0019,1.870055561,2.240126122,2.610196683,2.980267244,3.350337805,3.720408365,4.090478926,4.460549487,4.830620048,5.200690609
1.002,1.872569019,2.245153039,2.617737058,2.990321077,3.362905096,3.735489116,4.108073135,4.480657154,4.853241174,5.225825193
1.0021,1.873612059,2.247239118,2.620866176,2.994493235,3.368120294,3.741747353,4.115374411,4.48900147,4.862628529,5.236255588
1.0022,1.873180563,2.246376126,2.619571689,2.992767252,3.365962815,3.739158378,4.112353941,4.485549504,4.858745066,5.231940629
1.0023,1.871276235,2.24256747,2.613858704,2.985149939,3.356441174,3.727732408,4.099023643,4.470314878,4.841606113,5.212897347
1.0024,1.86790659,2.235828179,2.603749769,2.971671359,3.339592948,3.707514538,4.075436127,4.443357717,4.811279307,5.179200896
1.0025,1.863084926,2.226184852,2.589284778,2.952384705,3.315484631,3.678584557,4.041684483,4.404784409,4.767884335,5.130984261
1.0026,1.856830273,2.213675546,2.570520819,2.927366092,3.284211365,3.641056639,3.997901912,4.354747185,4.711592458,5.068437731
1.0027,1.849167315,2.19834963,2.547531944,2.896714259,3.245896574,3.595078889,3.944261203,4.293443518,4.642625833,4.991808148
1.0028,1.840126294,2.180267587,2.52040888,2.860550174,3.200691467,3.54083276,3.880974054,4.221115347,4.561256641,4.901397934
1.0029,1.82974289,2.15950078,2.489258669,2.819016559,3.148774449,3.478532338,3.808290228,4.138048118,4.467806008,4.797563897
1.003,1.818058082,2.136131165,2.454204247,2.772277329,3.090350412,3.408423494,3.726496576,4.044569659,4.362642741,4.680715823
1.0031,1.805117986,2.110250972,2.415383957,2.720516943,3.025649929,3.330782915,3.6359159,3.941048886,4.246181872,4.551314858
1.0032,1.790973669,2.081962338,2.372951006,2.663939675,2.954928344,3.245917012,3.536905681,3.82789435,4.118883019,4.409871687
1.0033,1.775680952,2.051376905,2.327072857,2.60276881,2.878464762,3.154160714,3.429856667,3.705552619,3.981248571,4.256944524
1.0034,1.75930019,2.01861538,2.27793057,2.53724576,2.79656095,3.05587614,3.31519133,3.57450652,3.83382171,4.0931369
1.0035,1.741896029,1.983807058,2.225718087,2.467629116,2.709540145,2.951451175,3.193362204,3.435273233,3.677184262,3.919095291
1.0036,1.723537156,1.947089312,2.170641468,2.394193623,2.617745779,2.841297935,3.064850091,3.288402247,3.511954403,3.735506558
1.0037,1.704296025,1.908607049,2.112918073,2.317229098,2.521540122,2.725851146,2.930162171,3.134473195,3.338784219,3.543095244
